Label,length,input,human-expert,Llama & Assistant,Llama 3 Unsloth,mistral unsloth,mistral-7B-instruct-v0.3,,,Evaluation Human-expert,Evaluation Llama& Assistant,Llama 3 Unsloth,Mistral Unsloth,Mistral Base
2,45,"Aldus gedaan en verklaard binnen de stad Koetsiem ter ordinaire Raadkamer der Justietsie op woensdag den 25:e juli 1792. in presentsie van d’E:s Pieter Elstendorp en Johan Christiaan Frischbier, leden, die de minute deezes neevens de comparante, voorsz: translateur en mij gezwoorene klerk hebben ondertekend.","Thus done and testified within the city of Koetsiem in the ordinary Chamber of Council of Justice on Wednesday, 25 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members, who signed the original of this, besides the deponent, above-mentioned interpreter and me the sworn clerk.","['Thus done and stated within the city of Koetsiem in the ordinary Chamber of Council of Justice on Wednesday, 25th July 1792 in the presence of d’E:s Pieter Elstendorp and Johan Christiaan Frischbier, members, who signed the original of this, besides the confessant, aforement']","['Thus done and stated within the city of Koetsiem to the ordinary Chamber of the city’s Council of Justice on Wednesday, 25 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members, who signed the original of this, besides the deponent, above-mentioned interpreter and me the sworn']","['Thus done and stated within the city of Koetsiem at the ordinary Chamber of Council of Justice on Wednesday, 25 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members, who signed the original of this, besides the deponent, above-mentioned interpreter and me the sworn']","['Thus done and declared within the city of Coetsiem at the ordinary Council Chamber of Justice on Wednesday the 25th of July 1792, in the presence of the Es:s Pieter Elstendorp and Johan Christiaan Frischbier, members, who also signed this minute, as well as the comparative, spokesman translator, and sworn cl']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. yes 4. yes 'E:s' not translated the clerk is lost,1. yes 2. no 3. yes 4. yes clerk is lost,1. yes 2. yes 3. yes 4. yes clerk is lost,1. yes 2. yes 3. yes 4. yes 'E:s' not translated clerk is lost
10,46,"Of hij relatant dien volgende dan ook volgends de orders bij ’t placcaat op het stuk van ’t koopen van slaven beraamt niet wel weet, dat niemand geen slaav of slavinne mag koopen voor en al eer deselve bij den hoofd tolk ter examinatie zijn gebragt.","Whether the testifier, then, does not know that no one can buy a slave [man] or slave woman before they have been brought to the head interpreter for examination, according to the orders devised in the placard treating the buying of slaves?","['Whether he, the testifier, does know that no one can buy a slave [man] or slave woman before and already before the slave was brought to the chief interpreter for examination?']","['Whether the testifier then correctly understands the following and also the articles in the placard about the buying of slaves, that nobody can buy any slave or slave woman before and after they have been brought to the chief interpreter for examination?']","['Whether the testifier then also understands well in the following that in the given orders in the placard about the buying of slaves, that no one may buy a slave or slave woman before and if they have not been brought to the chief interpreter for examination?']","['If he is related to the following matter, he also does not know, according to the orders at the placcaat on the piece of the buying of slaves, whether anyone may not buy a slave or a slave woman before and until they have been brought before the head interpreter for examination.']",,,,,,,
10,47,Aldus gedaan en gerelateert binnen destad Cochim ter ordinaris Raad camer op vrijdag den 2:en september anno 1757: in presentie van d’e Louis Quintin Martinsart en Laurens Trogh beijde leeden uijt den Raad voorm: die de minute deses nevens den relatant en mij gesw: clerq hebben onderteekent.,"Thus done and testified in the city of Cochim at the ordinary chamber of Council on Friday, 2 September in the year 1757 in the presence of the honourable Louis Quintin Martinsart and Lourens Trogh, both members of the aforementioned Council, who signed the original of this besides the testifier and me the sworn clerk.","['Thus done and testified within the city of Cochim at the ordinary Chamber of Council on Friday, 2 September 1757 in the presence of the honourable Louis Quintin Martinsart and Laurens Trogh, both sworn members of the aforementioned Council, who have signed the original of this, besides the']","['Thus done and testified in the city of Cochim at the ordinary chamber of the Council of Justice on Friday, 2 September 1757 in the presence of the Louis Quintin Martinsart and Laurens Trogh, both members of the aforementioned Council, who have signed the original of this, besides the testifier and me the sworn clerk.']","['Thus done and testified in the city of Cochim at the ordinary chamber of Council on Friday, 2 September 1757 in the presence of the honourable Louis Quintin Martinsart and Laurens Trogh, both members of the aforementioned Council, who signed the original of this besides the testifier and me the sworn clerk']","['Thus done and related within the city of Cochim before the ordinary council chamber on Friday the 2nd of September in the year 1757: in the presence of Mr. Louis Quintin Martinsart and Laurens Trogh, both members of the council before, who have signed the minutes of this, the related, and me, the clerk']",,,,,,,
9,47,Alle [. . .] pres[ent] [. . .] [ju]stitien [. . .] en ie[. . .] R[a]ad van J[ustitie] [. . .] [. . .] ten d’[e]xecutie van ‘t [v]oorsz: vonnis te surcheeren tot de naedere dispositie van haar hoog edelhedens de hoge Indiase regeering tot Batavia.,"All present [members of the Council of Justice, decide] to suspend the execution of the aforesaid judgement until further decision by her high honourables the high Indian government in Batavia.",['All [. . .] present [. . .] [justitien] and in case of [. . .] R[aa]ad of Justitie of [. . .] to execute the search for the execution of the voorsorum’s vonnis until the next lower disposition of her high edelhedens the high Indian government in Batavia.'],['All [...] present [...] justices [...] and ie[...] Council of J[ustitie] [...] [...] to surcharge to the additional stipulation of their high honourables the high Indian government of Batavia.'],['All [. . .] present [. . .] justice [. . .] and the honourable Council of Justice [. . .] to execute the aforementioned verdict of the honourable high government of India in Batavia.'],"['All [. . .] present [. . .] [justices] [. . .] and he [. . .] Council of Justice [. . .] [. . .] for the execution of the aforementioned verdict to search for, to the further disposal of her high nobility, the high Indian government in Batavia.']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. yes 4. yes parts are mistranslated and untranslated,1. no 2. yes 3. yes 4. yes mistranslated,1. no 2. yes 3. yes 4. yes important part of the sentence is missing ,1. no 2. yes 3. yes 4. yes mistranslated and unclear
6,47,"Aldus gedaan en geconfesseert binnen de stad Cochim ter ordinaris Raadcamer op den 14:e maart, anno 1743. in presentie van de E:s Warmold Stuermansz, en Stephanus van Zuijlen, beijde leeden uit den Raad voorm; die de minute deses nevens den confessant, taalman en mij secretaris hebben ondertekend.","Thus verified and persisted with, within the city of Cochim in the ordinary Chamber of Council on 14 March 1743, in the presence of the honourable Warmold Stuermansz and Stephanus van Zuijlen, both members from the mentioned council, who signed the original of this, besides the confessant, interpreter and me the secretary.","['Thus done and confessed within the city of Cochim at the ordinary Council Chamber on 14 March 1743. In the presence of the honourable Warmold Stuermansz, and Stephanus van Zuijlen, sworn members of the aforementioned Council, who have signed the original of this, besides the conf']","['Thus done and confessed in the city of Cochim at the ordinary chamber of council on 14 March 1743 in the presence of the honourables Warmold Stuermansz and Stephanus van Zuijlen, both members of the aforementioned council, who have signed the original of this, besides the confessant, taalman and me the secretary.']","['Thus done and confessed in the city of Cochim at the ordinary chamber of council on 14 March 1743 in the presence of the honourable Warmold Stuermansz and Stephanus van Zuijlen, both members of the aforementioned Council, who have signed the original of this together with the confessant, interpreter and me']","['Thus done and confessed within the city of Cochin at the ordinary Council Chamber on the 14th of March, in the year 1743. In the presence of the gentlemen Warmold Stuermansz and Stephanus van Zuijlen, both members of the Council, who have signed the minutes of this, along with the confessant,']",,,,,,,
2,47,"Dat zij hem agternageloopen en geroepen had daar loopt den dief pakt hem! Dat daar op een sipaij van de heer Ponneij hem gegreepen en aan haar man /die meede agter naa gelopen was:/ overgegeeven had, die hem vervolgens aan den rat: off: eijscher overgeleeverd heeft gehad.","That she had followed and called after him, there runs the thief, seize him! That thereupon a sipaij of the lord Ponneij had grabbed him and had handed him over to her husband (who had also followed), who had then handed him over to the eijscher in his official capacity.","['That she had followed and called him, [which] resulted in the thief grabbing him! That she had grabbed and called out to him [when] he ran away, and that the heer had scolded her for that, and had given [him] to her husband (who had also']","['That she had chased after him and called out there to grab the thief! That to a sipaij, the lord Ponneij had grabbed him and handed him over to her husband (who also had chased after them), who had then handed him over to the eijscher in his official capacity.']","['That she had run after him and called: thief, loopt den dief, pakt hem! That there, a sipaij of the lord Ponneij had grabbed him and handed him over to her husband (who had also followed after:), who had then handed him over to the eijscher in his official capacity.']","['She had chased after him and called out, ""There runs the thief, catch him!"" It was on a shovel of the Lord Ponneij that she grabbed him and handed him over to her husband, who had been chasing after him as well: She then handed him over to the court, or even delivered him to the execution']",,,1. yes 2.yes 3. yes 4. no 'eijsser' not translated ,1. no 2. yes 3. yes 4. no mistranslated,1. yes 2. yes 3. yes 4. no 'eijsser' not translated,1.yes 2. yes 3. yes 4. no loopt den dief' and 'eijsser' not translated,1. no 2. yes 3. no 4. no mistranslated 
8,48,"Aldus gedaan en gedeposeert, binnen de stad Cochim, ter ordinaris Raadcamer op den 10:en Julij anno 1743. in presentie van de E:s Johannes van Dooreslaar, en Jan Jansen Lemmet, beijde leeden uit den Raad voorm:, die de minute deses, nevens de deposante, tolken, en mij secretaris hebben ondertekend.","Thus done and deposited within the city of Cochim at the ordinary Chamber on 10 July 1743 in the presence of the honourables Johannes van Dooreslaar and Jan Jansen Lemmet, both members of the aforementioned Council, who have signed the original of this together with the deponent, interpreters and me the secretary.","['Thus done and stated, within the city of Cochim, at the ordinary Council Chamber on 10 July 1743. In the presence of the honourables Johannes van Dooreslaar and Jan Jansen Lemmet, sworn members of the aforementioned Council, who have interpreted the original of this, together with the deponent']","['Thus done and deposited within the city of Cochim at the ordinary chamber of council on 10 July 1743 in the presence of the honourables Johannes van Dooreslaar and Jan Jansen Lemmet, both members of the aforementioned Council, who have signed the original of this, besides the deponent, interpreters and me the secretary.']","['Thus done and stated within the city of Cochim at the ordinary Chamber of Council on 10 July 1743 in the presence of the honourables Johannes van Dooreslaar and Jan Jansen Lemmet, both members of the aforementioned Council, who have signed the original of this together with the deponent, interpreters and me the secretary.']","['Thus done and deposited, within the city of Cochim, in the ordinary Council Chamber on the 10th of July, in the year 1743. In the presence of the E:s Johannes van Dooreslaar, and Jan Jansen Lemmet, both members of the Council beforementioned, who translated the minutes of this, along with the depos']",,,,,,,
5,48,"Compareerde voor de naargen: gecommitt:e leeden uit den agtb: Raad van Justitie deser steede den levenen: in de nevenstaande articulen gem:, dewelke aan hun door vertaling van den ondertolk van woorde te woorde voorgehouden sijnde, heeft hij daarop soodanig g’antwoord is voor ieder in margine is ter nedergesteld.","There appeared before the undermentioned delegated members of the Council of Justice of this city the prisoners, mentioned in the articles below, which was presented to them word for word by translation of the interpreter, he answered to that as is written down for each one in the margin.","['Appeared before the undermentioned delegated members of the honourable Council of Justice of this city the living persons mentioned in the adjacent articles, which were put by translation of the junior interpreter word for word to them, being [it] was asked of him, is written down for each in the margins.']","['There appeared before the undermentioned delegated members of the Council of Justice of this city, the living mentioned in the articles below, which were presented to him word for word by translation of the interpreter, he answered thereon as such, which is put down in the margins for each.']","['There appeared before the undermentioned delegated members of the Council of Justice of this city, the living, mentioned in the articles below, which were presented word for word to him, by translation of the interpreter, he answered to this as is written down for each in the margins.']","['Compared before the aforementioned: committed members from the 8th Council of Justice of this place the living, in the following articles, which were presented to them through translation by the interpreter word for word, he has therefore given such an answer for each, which is noted in the margin.']",,,,,,,
2,50,"Dat hij eerste gevangen daarop met dat zelfde meisje na capitein Bappa Sale zijn huis gegaan was, en het meisje voorm: aan deselfs wed:we afgegeven had wijl hij aan haar twaalf ropijen schuldig was, om daar voor het meisje zo lange bij haar te houden, en toen was heen gegaan.","That he the first prisoner, thereupon went with the same girl to Captain Bappa Sale’s house, and had given the aforementioned girl to this widow, because he owed her 12 ropijen, in order to keep the girl with her for so long, and then left.","['That he the first prisoner, having been told that, went to the captain Bappa Sale with that same girl to his house, and had given that girl to his aforementioned wife because he owed her twelve ropijen, to keep the girl with her for as long as possible, and left then.']","['That he the first prisoner had then taken the same girl to Captein Bappa Sale’s house, and had given the girl to his wife while he owed her twelve ropijen, to keep the girl there for as long as possible, and then he had left.']","['That he the first prisoner, had then with the same girl gone to Captain Bappa Sale’s house, and had given the aforementioned girl to his wife because he owed her twelve ropijen, in order to keep the girl with her for some time, and had then left.']","['He first went to the house of Captain Bappa Sale with the same girl after he was imprisoned, and the girl had been given away while he owed her twelve guilders, in order to keep her for so long, and then he left.']",,,1. yes 2. no 3. yes 4. yes ,1. no 2. yes 3. yes 4. yes 'having been told' is introduced 'weduwe' is mistranslated as 'wife' 'so long' is mistranslated to 'as long as possible',1. yes 2. yes 3. yes 4. yes  'weduwe' is mistranslated as 'wife' 'so long' is mistranslated to 'as long as possible',1. yes 2. yes 3 yes 4. yes 'weduwe' was mistranslated to 'wife' ,1. no 2. yes 3. no 4. yes structure changed the fact that the subject was a prisoner is lost who the girl was given to was lost 'ropeijen' was translated to guilders 
5,52,"Waarmeede de attestanten hunne verklaringen ijndigende betuigen derselver inhoud de opregte ende suivere waarheijt is behelsende, gevende voor reden van wetenschap, dat al ‘t gheen een ieder in desen heeft verklaart, in persoon bijgewoont, gehoort, en gesien heeft, blijvende oversulx bereijd hun g’attesteerde des noods sijnde nader met eede te sullen bevestigen.","With which the testifiers ended their testimonies, attesting them to contain the pure and honest truth, indicating as the basis of this knowledge that each of their testimonies was attended in person, done and witnessed, remaining willing to affirm their testimony under oath, at all times in need or when asked to.","['Wherewith the testifiers ending their statements, declaring it to be their sincere and honest opinion, given for reason of knowledge, that in this case everyone has declared, having been present in person, having heard, and having seen it, remaining willing if necessary to further affirm their stated oath.']","['With which the testifiers ended their testimonies, attesting the contents to be the whole and honest truth, indicating as cause of knowledge that everyone who has declared anything in this, has been present in person, heard and seen, remaining hereby willing to further confirm their testimony under oath if necessary.']","['With which the testifiers ended their testimony, attesting it to contain the pure and honest truth, indicating as the basis of this knowledge, that all that everyone has declared, has been attended in person, heard and seen, remaining willing to affirm their testimony under oath, if necessary.']","['Whereby the witnesses their declarations solemnly affirm that the same contain the upright and sincere truth, giving reason for knowledge, that all things one and all in this have declared, in person present, heard, and seen, remain ready to swear their attested ones in need being nearer with oath to confirm.']",,,,,,,
9,53,"Aldus gedaan ende gerelateert binnen de stad Cochim ter ord:s Raadcamer op donderdag den 13. aug:o 1750, in presentie van d’E:s Abraham Gosenson en Hendrik Notermans beide leeden uit den Raad voormelt, die de minute deses nevens den relatant, jo: tolk en mij secret:s hebben ondertekend /:onderstond:/ ‘twelk getuijgt /:get::/ Jacob:s Meijn sec:s.","Thus done and testified in the city of Cochim in the ordinary Chamber of Council on Thursday, 13 August 1750, in the presence of the honourable Abraham Gosenson and Hendrik Notermans, both members of the aforementioned Council, who signed the original of this with the testifier, junior interpreter and me the secretary [standing below] which was declared [signed] Jacob.s Meijn, secretary.","['Thus done and testified within the city of Cochim at the ordained Chamber of Council on Thursday, 13 August 1750, in the presence of the honourable Abraham Gosenson and Hendrik Notermans, both members of the aforementioned Council, who have signed the original of this, besides the testifier, the junior interpreter and me the secretary [standing below] which has been declared by each of']","['Thus done and testified in the city of Cochim at the ordinary Chamber of Council on Thursday, 13 August 1750, in the presence of the honourable Abraham Gosenson and Hendrik Notermans, both members of the aforementioned Council, who have signed the original of this, besides the testifier, junior interpreter and me the secretary [standing below] as declared [signed] Jacob.s Meijn secretary.']","['Thus done and testified in the city of Cochim in the ordinary Chamber of Council on Thursday, 13 August 1750, in the presence of the honourable Abraham Gosenson and Hendrik Notermans, both members of the aforementioned Council, who signed the original of this with the testifier, junior interpreter and me the secretary [standing below] as declared [signed] Jacob.s Meijn secretary.']","['Thus done and related within the city of Cochim in the presence of the Council Chamber on Thursday, the 13th of August, 1750, in the presence of the E:s Abraham Gosenson and Hendrik Notermans, both members of the aforementioned Council, who have signed the minutes of this, as well as the translator and myself, secretaries. This is witnessed by Jacob:s Meijn, the secretary.']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. no 4. yes name of secretary not retained ,1. yes 2. no 3. yes 4. yes ,1.  yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. yes 4. yes 'E:s' not translated
2,53,"Verders; hoe hij het meisje aan Maliaporte Marian te koop konde presenteeren, en drie dagen aldaar laaten verblijven zoo hij geen kennis aan haar had, of dat hij wist dat zij zich met zoortgelijk zaaken ophield? Verklaarde hij dat hij wel te vooren kennis aan hare gehad, maar noit geen slaaf verkogt had.","Additionally; how he could offer the girl to Maliaporte Marian for sale, and allow her to stay there for three days even though he did not know her, or whether he knew whether she busied herself with such activities? He answered that he did know her beforehand, but he had never sold a slave.","['Others; how he could offer the girl to Maliaporte Marian for sale, and keep her there for three days, if he did not know her, or that he knew that she held herself busy with such kind of affairs? Declared he that he was familiar with her before, but had never sold a slave.']","['Furthermore, how he could present the girl for sale to Maliaporte Marian, and let her stay there for three days, if he had no knowledge of her, or that he knew that she was involved in such affairs? He declared that he had had knowledge of her, but had never sold slaves.']","['Furthermore; how he could present the girl for sale to Maliaporte Marian, and let her stay there for three days if he had no knowledge of her, or that he knew that she dealt with such transactions before? He declared that he had told her before that he did not want to sell a slave.']","['Furthermore; how he could present the girl at Maliaporte Marian for sale, and spend three days there if he had no knowledge of her, or if he knew that she was engaged in similar activities? Did he declare that he had previously had knowledge of her, but never sold her as a slave?']",,,,,,,
2,54,"Aldus gedaan en geconfesseerd binnen de stad Koetsiem ter ordinaire Raadkamer der Justietsie, op woensdag den 25:e juli 1792; in presentsie van d:e:s Pieter Elstendorp en Johan Christiaan Frischbier, leden, die de minute deezes, nevens de confessant, voorsz: tolk en mij gezw: klerk hebben onderteekend, Quod attestor, [get.] J: V: D: Poel, g: klerk.","Thus done and sentenced within the city of Koetsiem at the ordinary Chamber of Council, on Wednesday, 25 July 1792; in the presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members, who signed the original of this, besides the confessant, aforementioned interpreter and me the sworn clerk. Quod attestor, [signed] J. V. D. Poel, sworn clerk.","['Thus done and confessed within the city of Koetsiem in the ordinary Chamber of Council of Justice, on Wednesday, 25 July 1792; in the presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members, who have signed the original of this, besides the confessant, aforementioned interpreter and me the sworn clerk, Quod attestor, [signed]']","['Thus done and confessed in the city of Koetsiem before the ordinary Chamber of Council of Justice, on Wednesday, 25 July 1792; in the presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members, who have signed the original of this, besides the confessant, above-mentioned interpreter and me the sworn clerk, Quod attestor, [signed] J. V. D. Poel,']","['Thus done and sentenced within the city of Koetsiem at the ordinary Chamber of Council of Justice, on Wednesday, 25 July 1792; in the presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members, who signed the original of this, besides the confessant, aforementioned interpreter and me the sworn clerk, Quod attestor, [signed] J. V. D.']","['Thus done and confessed within the city of Coetsiem, at the ordinary Council Chamber of Justice, on Wednesday the 25th of July 1792; in the presence of Mr. Pieter Elstendorp and Mr. Johan Christiaan Frischbier, members, who signed the minutes of this, along with the confessant, as the interpreter and I, the clerk, have signed, I testify, J. V. D. Po']",,,,,,,
8,54,"So is ’t dat wij na rijpe deliberatie, en na overwogen te hebben al ’t gene ter sake is dienende, ons met voorsz: sententie en gewijsde hebben geconformeert, gelijk wij deselve confirmeeren, en approberen bij desen, met last en ordre aan voorm: Raad van Justitie om voorsz: largatie op heden te doen effect sorteeren.","So is it that we, after ripe deliberation and after having considered all which serves the case, having agreed with the aforementioned sentence and verdict, as we confirm, and with this approve, to charge and order the aforementioned Council of Justice to bring the aforementioned release into effect today.","['Thus it is that after mature deliberation, and after having considered all that concerns the case, we confirm and approve the aforementioned sentence and judgement, as we hereby confirm and approve it again, and with this, we grant permission to the aforementioned Council of Justice to effectuate the aforementioned release immediately']","['Thus it is that we after mature deliberation, and after having considered all that concerns this matter, conform ourselves with the aforementioned sentence and verdict, as we confirm and approve herewith, with instruction and order to the aforementioned Council of Justice to effectuate the aforementioned largatie immediately.']","['Thus it is that after mature deliberation, and after having considered all that concerns the case, we confirm [the] aforementioned sentence and verdict, [and] equally confirm and approve herewith, with instruction and order the aforementioned Council of Justice to bring about the effect of the aforementioned release immediately.']","['It is that we, after mature deliberation, and having considered everything that is serving the purpose, have confirmed our aforementioned sentence and decision. We confirm and approve the same, and order it to be carried out by the aforementioned Council of Justice, to sort out the effect of the aforementioned donation today.']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes,1. yes 2. yes 3. yes 4. yes 'largatie' was not translated,1. yes 2. no 3. yes 4. yes,1 yes 2. yes 3. yes 4. yes 'largatie' was mistranslated
2,54,"welke straffe des doods, bij Carpzovius in het 76: capittel zijner lijfstraffelijke verhandelingen over de sulken geratihabeerd word, door dien hij aldus zegt, dat niet teegenstaande volgens de wet Fabia de menschen dieven oud tijds willekeurig in met geld boeten gestrafd zijn, echter heedendaags na de wet van Constantinus de straffe des swaarts is,","Which death penalty Carpzovius in the 76th chapter of his treatises on such corporal punishment approves of, in which he says thus: that even though according to the law of Fabia the human thieves in the old days were punished randomly and with fines, yet presently following the law of Constantinus the punishment is by the sword.","['Which death penalty, [that] is ordained in the 76th chapter of his lijfstraffelijke verhandelingen, [that] Carpzovius subserves, [that] he says thus, [that] notwithstanding this has been punished with fines according to the law of Fabia, [that] people called thieves have been punished with certain']","['Which sentence of death, in Carpzovius’ 76th chapter of his corporal punishments discussing the such, is cited by him, saying that not contrary to the law of Fabia, the people’s thieves in the past have been punished with fines, however nowadays according to the law of Constantinus the punishment is a sword.']","['Which death penalty, is ratified thus by Carpzovius in the 76th chapter of his lijfstraffelijke verhandelingen concerning these matters, because he says that notwithstanding that according to the law of Fabia people have been randomly punished with money fines for being human thieves in ancient times, however nowadays according to the law of Constantinus the punishment for this is the sword']","['which punishments of death, as described by Carpzovius in the 76th chapter of his treatise on corporal punishments regarding thieves, are, according to him, not contradictory, since, according to the law of Fabia, people were arbitrarily fined with money as thieves in ancient times, however, today, according to the law of Constantinus, the punishment for']",,,,,,,
4,55,"Aldus gedaen ende geconfesseert binnen de stad Cochim ter ordinaris Raadcamer van den E: agtb: Raad van Justitie op den 11:e 7:ber 1737: in presentie van den vendrig Jan Schut, en boekhouder Cornelis Hendriksz: Oudewater beijde leeden uijt den Raed voormelt die de minute deses nevens den confess:t voors: ondertolk en mij g:clercq hebben ondertekend.","Thus done and sentenced in the city of Cochim at the ordinary chamber of council of the honourable Council of Justice on 11 September 1737 in the presence of the vendrig Jan Schut and bookkeeper Cornelis Hendriksz. Oudewater, both members of the aforementioned Council, who signed the original of this besides the aforementioned confessant and me the sworn clerk.","['Thus done and confessed within the city of Cochim at the ordinary Council Chamber of the honourable Council of Justice on 11 September 1737 in the presence of the vendrig Jan Schut and bookkeeper Cornelis Hendriksz. Oudewater, both members of the aforementioned Council, who have signed the original of this, together with the confessant, aforementioned junior interpreter and']","['Thus done and confessed in the city of Cochim at the ordinary chamber of council of the honourable Council of Justice on 11 September 1737 in the presence of the vendrig Jan Schut, and bookkeeper Cornelis Hendriksz. Oudewater, both members of the aforementioned Council, who have signed the original of this, besides the confessant above, the junior interpreter and me the sworn clerk.']","['Thus done and sentenced in the city of Cochim at the ordinary Chamber of Council of the honourable Council of Justice on 11 September 1737 in the presence of the vendrig Jan Schut and bookkeeper Cornelis Hendriksz. Oudewater, both members of the aforementioned Council, who signed the original of this besides the aforementioned confessant and me the sworn clerk.']","['Thus done and confessed within the city of Cochin before the ordinary Council Chamber of the E: agtb: Council of Justice on the 11th of July 1737, in the presence of the elderly Jan Schut, and bookkeeper Cornelis Hendriksz: Oudewater, both members of the aforementioned Council, who have signed the minutes of this confession, along with the aforementioned confessor']",,,1. yes 2. yes 3. yes 4. no vendrig' not translated,1. no 2. yes 3. yes 4. no 'vendrig' not translated 'clercq' lost in translation ,1. yes 2. yes 3. yes 4. no 'vendrig' not translated ,1. yes 2. yes 3. yes 4. no 'vendrig' not translated ,1. no 2. yes 3. no 4. no 'mistranslated'
6,56,"Compareerde voor de naegen: gecommitt:de leeden uit den agtb: Raad van Justitie deser steede, de gev:, in de voorenstaande confessie gem:, dewelke aan hem nu wederom ten overstaan van den ondercoopman ende fiscaal deses commandements Nicolaas Bowijn, door vertaling van den jo: tolk, wel ende duidelijk voorgehouden sijnde, bleef hij bij dies inhoud ten vollen persisteeren.","Appeared before the undermentioned delegated members of the honourable Council of Justice of this city, the prisoner, mentioned in the previous testimony, which was read to him now again in the presence of the second merchant and fiscal of this District, Nicolaas Bowijn, explained plainly by translation of the junior interpreter, fully persisted with its content.","['There appeared before the undermentioned delegated members of the Council of Justice of this city, the prisoner, mentioned in the previous confession, which was well and clearly put to him in the presence of the second merchant and fiscal deputy of this district, Nicolaas Bowijn, by translation of the junior interpreter, he persisted fully with its contents.']","['There appeared before the undermentioned delegated members of the honourable Council of Justice of this city, the prisoner, mentioned in the preceding confession, which was presented well and clearly to him again by translation of the junior interpreter, in the presence of the second merchant and fiscal of this district, Nicolaas Bowijn, he persisted fully in its content.']","['There appeared before the undermentioned delegated members of the honourable Council of Justice of this city the prisoner, mentioned in the above confession, which was now again well and clearly put to him in the presence of the second merchant and fiscal of this district, Nicolaas Bowijn, by translation of the junior interpreter, he fully persisted with its contents.']","[""The members of the 8th Council of Justice of this place compared him before their eyes: the committed men, in the aforementioned confession, which were presented to him again in the presence of the undercoopman and fiscal of this commandment, Nicolaas Bowijn, through translation of the judge's clerk, clearly stated, he continued to insist fully on this content.""]",,,,,,,
2,56,"Zo zal uweled: achtb:s uit het recollement van den eerste gevangen sub A: op de vraege hoe hij konde opgeeven dat het meisje twee à drie daagen bij de tweede gevangene geweest was, daar zij verklaard hadde gehad, dat voorm: meisje van s’morgens te 5. tot s’avonds te 5. uur maar bij haar verbleeven was, geblijken","Thus it will be clear to you right honourables, from the verification of the first prisoner under letter A., to the question how he could state that the girl had been with the second prisoner for two or three days, while she had stated that the mentioned girl had only stayed with her from 5 in the morning to 5 o’clock in the evening,","['Thus you honourable gentlemen will be able to conclude from the statement of the first prisoner sub A: to the question how he could have stated that the girl had been with the second prisoner for two or three days, that there she had declared that the aforementioned girl had stayed with her only until five in the morning until five in the evening, evidently.']","['So your honourables will find in the verification of the first prisoner under letter A that when asked how he could ensure that the girl had been with the second prisoner for two or three days, that she had declared that the aforementioned girl had stayed with her from 5 in the morning until 5 o’clock, apparently.']","['Thus you honourable gentlemen can judge from the statement of the first prisoner, sub A, to the question how he could state that the girl had been with the second prisoner for two or three days, while she had declared that the aforementioned girl had been with her from 5 in the morning until 5 in the evening?']","['So shall your excellency: believe: it from the recollection of the first prisoner sub A, on the request how he could declare that the girl had been with the second prisoner for two to three days, where she had declared that the former girl from morning at 5 to evening at 5 hours had only stayed with her, appeared.']",,,,,,,
